"Category","File","LineNumber","OwnerPackage","ImportSpecifier","CodeSnippet","Description"
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\api\pantry.test.ts","6","root","../../apps/server/src/routes/pantry","import { pantryRoutes } from '../../apps/server/src/routes/pantry';","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\empirical\r1_r2_stress.test.ts","20","root","../../packages/event-bus/src/binary-protocol","import { encodeBinaryEvent, decodeBinaryEvent } from '../../packages/event-bus/src/binary-protocol';","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\empirical\r1_r2_stress.test.ts","21","root","../../packages/event-bus/src/types","import type { DomainEvent } from '../../packages/event-bus/src/types';","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\empirical\r3_r4_r5_stress.test.ts","6","root","../../apps/server/src/routes/kds","import { kdsRoutes } from '../../apps/server/src/routes/kds';","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\empirical\r3_r4_r5_stress.test.ts","7","root","../../apps/server/src/routes/pantry","import { pantryRoutes } from '../../apps/server/src/routes/pantry';","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\empirical\step1_plated_inventory.test.ts","2","root","../../packages/ratio-engine/src/index","import { scaleBlueprint, RatioBlueprint } from '../../packages/ratio-engine/src/index';","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\empirical\step3_mcp_servers.test.ts","2","root","../../packages/ratio-engine/src/index","import { scaleBlueprint } from '../../packages/ratio-engine/src/index';","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\event-bus\binary-protocol.test.ts","6","root","../../packages/event-bus/src/binary-protocol","import { encodeBinaryEvent, decodeBinaryEvent } from '../../packages/event-bus/src/binary-protocol';","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\event-bus\binary-protocol.test.ts","7","root","../../packages/event-bus/src/types","import type { DomainEvent } from '../../packages/event-bus/src/types';","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\event-bus\broker.test.ts","21","root","../../packages/event-bus/src/broker","import { handleIncomingEvent } from '../../packages/event-bus/src/broker';","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\event-bus\handlers.test.ts","74","root","../../packages/event-bus/src/handlers/kds-ticket-bumped","const { handleTicketBumped } = await import('../../packages/event-bus/src/handlers/kds-ticket-bumped');","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\event-bus\handlers.test.ts","111","root","../../packages/event-bus/src/handlers/kds-ticket-bumped","const { handleTicketBumped } = await import('../../packages/event-bus/src/handlers/kds-ticket-bumped');","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\event-bus\handlers.test.ts","135","root","../../packages/event-bus/src/handlers/kds-ticket-bumped","const { handleTicketBumped } = await import('../../packages/event-bus/src/handlers/kds-ticket-bumped');","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\event-bus\handlers.test.ts","165","root","../../packages/event-bus/src/handlers/pos-order-cancelled","const { handleOrderCancelled } = await import('../../packages/event-bus/src/handlers/pos-order-cancelled');","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
"DIRECT_SRC_IMPORT","C:\Users\white\OneDrive\Documents\GitHub\CulinaryOS\tests\server\htmx-kds.test.ts","6","root","../../apps/server/src/routes/kds","import { kdsRoutes } from '../../apps/server/src/routes/kds';","Importing directly from internal src/ of a package instead of package entrypoint or exported subpath."
