"Category","File","LineNumber","OwnerPackage","ImportSpecifier","CodeSnippet","Description"
"UNMONOREPOIZED_ROOT_IMPORT","apps\pos\src\lib\useorderstore.ts","9","apps\pos","../../../../shared/realtime","import { useRealtimeOrders } from '../../../../shared/realtime';","Package 'apps\pos' imports from unmonorepoized root directory 'shared' using relative path '../../../../shared/realtime'."
"UNMONOREPOIZED_ROOT_IMPORT","apps\pos\src\lib\useorderstore.ts","10","apps\pos","../../../../shared/types","import type { Order } from '../../../../shared/types';","Package 'apps\pos' imports from unmonorepoized root directory 'shared' using relative path '../../../../shared/types'."
"DIRECT_SRC_IMPORT","tests\api\pantry.test.ts","6","root","../../apps/server/src/routes/pantry","import { pantryRoutes } from '../../apps/server/src/routes/pantry';","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"UNMONOREPOIZED_ROOT_IMPORT","tests\course-firing\engine.test.ts","6","tests","../../kds/server/lib/course-engine","import { initialHoldStatus } from '../../kds/server/lib/course-engine';","Test file imports from unmonorepoized root directory ('kds' or 'shared') via relative path '../../kds/server/lib/course-engine'."
"DIRECT_SRC_IMPORT","tests\empirical\r1_r2_stress.test.ts","20","root","../../packages/event-bus/src/binary-protocol","import { encodeBinaryEvent, decodeBinaryEvent } from '../../packages/event-bus/src/binary-protocol';","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"DIRECT_SRC_IMPORT","tests\empirical\r1_r2_stress.test.ts","21","root","../../packages/event-bus/src/types","import type { DomainEvent } from '../../packages/event-bus/src/types';","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"DIRECT_SRC_IMPORT","tests\empirical\r3_r4_r5_stress.test.ts","6","root","../../apps/server/src/routes/kds","import { kdsRoutes } from '../../apps/server/src/routes/kds';","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"DIRECT_SRC_IMPORT","tests\empirical\r3_r4_r5_stress.test.ts","7","root","../../apps/server/src/routes/pantry","import { pantryRoutes } from '../../apps/server/src/routes/pantry';","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"UNMONOREPOIZED_ROOT_IMPORT","tests\empirical\r3_r4_r5_stress.test.ts","8","tests","../../kds/server/lib/course-engine","import { initialHoldStatus } from '../../kds/server/lib/course-engine';","Test file imports from unmonorepoized root directory ('kds' or 'shared') via relative path '../../kds/server/lib/course-engine'."
"DIRECT_SRC_IMPORT","tests\empirical\step1_plated_inventory.test.ts","2","root","../../packages/ratio-engine/src/index","import { scaleBlueprint, RatioBlueprint } from '../../packages/ratio-engine/src/index';","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"DIRECT_SRC_IMPORT","tests\empirical\step3_mcp_servers.test.ts","2","root","../../packages/ratio-engine/src/index","import { scaleBlueprint } from '../../packages/ratio-engine/src/index';","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"DIRECT_SRC_IMPORT","tests\event-bus\binary-protocol.test.ts","6","root","../../packages/event-bus/src/binary-protocol","import { encodeBinaryEvent, decodeBinaryEvent } from '../../packages/event-bus/src/binary-protocol';","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"DIRECT_SRC_IMPORT","tests\event-bus\binary-protocol.test.ts","7","root","../../packages/event-bus/src/types","import type { DomainEvent } from '../../packages/event-bus/src/types';","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"DIRECT_SRC_IMPORT","tests\event-bus\broker.test.ts","21","root","../../packages/event-bus/src/broker","import { handleIncomingEvent } from '../../packages/event-bus/src/broker';","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"DIRECT_SRC_IMPORT","tests\event-bus\handlers.test.ts","74","root","../../packages/event-bus/src/handlers/kds-ticket-bumped","const { handleTicketBumped } = await import('../../packages/event-bus/src/handlers/kds-ticket-bumped');","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"DIRECT_SRC_IMPORT","tests\event-bus\handlers.test.ts","111","root","../../packages/event-bus/src/handlers/kds-ticket-bumped","const { handleTicketBumped } = await import('../../packages/event-bus/src/handlers/kds-ticket-bumped');","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"DIRECT_SRC_IMPORT","tests\event-bus\handlers.test.ts","135","root","../../packages/event-bus/src/handlers/kds-ticket-bumped","const { handleTicketBumped } = await import('../../packages/event-bus/src/handlers/kds-ticket-bumped');","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"DIRECT_SRC_IMPORT","tests\event-bus\handlers.test.ts","165","root","../../packages/event-bus/src/handlers/pos-order-cancelled","const { handleOrderCancelled } = await import('../../packages/event-bus/src/handlers/pos-order-cancelled');","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
"UNMONOREPOIZED_ROOT_IMPORT","tests\kds\station.test.ts","2","tests","../../kds/server/lib/course-engine","import { initialHoldStatus } from '../../kds/server/lib/course-engine';","Test file imports from unmonorepoized root directory ('kds' or 'shared') via relative path '../../kds/server/lib/course-engine'."
"DIRECT_SRC_IMPORT","tests\server\htmx-kds.test.ts","6","root","../../apps/server/src/routes/kds","import { kdsRoutes } from '../../apps/server/src/routes/kds';","Importing directly from internal src/ directory instead of published package entrypoint/export contract."
